goat_rank_v4,player_name,player_status,goat_score_v4,goat_pct_v4,pillar4_volume,pillar4_peak,pillar4_context,pillar4_honors,era_scalar_v4,individual_brilliance_score,peak_year_v4,peak_era_mult_v4,prime_team_win_pct,avg_team_win_pct,adj_career_ppg,adj_career_rpg,adj_career_apg,career_per,career_ts_pct,career_bpm,career_vorp,adj_career_ws,n_seasons,career_g,mvp,championships,allstar,all_nba_1st,all_nba_2nd,all_nba_3rd,all_def_1st_v4,all_def_2nd_v4,dpoy,rings_adj_v4,stockton_mult_v4
25,Dwyane Wade,historical,51.08,74.7,55.670520461786715,84.71209979318829,42.586185302464386,21.363194605905605,0.88,64.56,2009,1.0,0.6247272727272727,0.5802777777777778,22.2,4.78,5.46,15.8,0.51,0.6,1.2,130.06,18,72.0,0.0,3.0,13.0,2.0,5.0,1.0,3.0,2.0,0.0,2.7,1.0
26,Russell Westbrook,active,50.19,73.7,66.08016957559362,75.12192727558313,39.59045624051227,19.980392156862745,0.88,66.27,2015,0.9,0.5394615384615384,0.54705,21.04,6.92,8.03,15.2,0.533,-0.4,0.7,118.55,20,61.0,1.0,0.0,9.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
27,Rick Barry,historical,50.12,72.7,50.471915568384134,82.16462708877025,43.78680959907145,24.07114624505929,1.0,59.43,1968,1.08,0.5,0.5,24.14,6.36,4.47,14.8,0.517,1.1,1.4,120.54,14,72.0,0.0,1.0,12.0,7.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0
28,Jerry West,historical,49.84,71.7,40.07611590485658,81.17376650062506,46.597846703246844,31.51615903278308,1.15,37.42,1964,1.08,0.6097272727272727,0.5862142857142858,24.88,5.09,6.11,22.4,0.519,4.7,1.6,147.23,14,31.0,0.0,1.0,14.0,10.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0
29,John Havlicek,historical,49.42,70.7,56.994154046043114,65.0073664274964,38.67628413729083,37.00523134154849,1.15,40.72,1970,1.08,0.5965454545454546,0.599875,19.64,5.79,4.45,14.3,0.495,-0.2,1.3,122.03,16,82.0,0.0,8.0,13.0,4.0,7.0,2.0,5.0,3.0,0.0,8.0,1.0
30,Artis Gilmore,historical,49.23,69.7,42.716412030515095,91.89550902328145,49.27676200830842,13.029411764705884,1.0,69.78,1973,1.08,0.5,0.5186315789473683,16.5,10.5,1.94,,,0.8500000000000001,0.7,181.04,19,,0.0,0.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
31,Shai Gilgeous-Alexander,active,48.86,68.7,30.958976734328395,84.83210947930574,71.8395250679105,7.817135549872123,0.88,96.35,2024,0.9,0.53375,0.497375,25.09,4.74,5.33,31.6,0.669,12.2,6.6,72.33,8,55.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
32,Kawhi Leonard,active,48.82,67.7,38.11204315081618,79.05994266865623,59.021143168375204,19.08091141594978,0.88,73.78,2016,0.9,0.6169,0.6366428571428572,20.79,6.37,3.13,28.4,0.63,8.5,4.4,112.19,14,51.0,0.0,2.0,6.0,2.0,4.0,1.0,5.0,4.0,2.0,2.0,1.0
33,Gary Payton,historical,48.45,66.7,59.835431959671084,73.09009975132146,40.46809014548779,20.425366193908395,0.97,71.96,1998,1.0,0.5,0.529578947368421,17.85,4.07,7.08,9.0,0.458,-3.2,-0.5,158.87,19,68.0,0.0,1.0,9.0,2.0,5.0,2.0,9.0,2.0,1.0,1.0,1.0
34,Bob Pettit,historical,48.24,65.7,41.86562865575697,70.62094583198684,42.60145762478981,37.872549019607845,1.15,51.01,1959,1.08,0.5,0.5,24.9,14.51,2.67,22.6,0.51,3.040000000000001,0.213,122.66,11,50.0,2.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,Luka Doncic,active,47.87,64.6,37.870666490744384,78.15856436032358,63.552595802317214,11.911764705882355,0.88,89.14,2022,0.9,0.5048,0.4829,28.5,8.38,8.05,27.9,0.616,9.1,5.4,70.38,10,54.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
36,Ray Allen,historical,46.65,63.6,57.443983541640726,76.43509965142279,44.46272773119778,8.262566844919785,0.97,63.5,2003,1.0,0.5535384615384615,0.57325,21.08,4.45,3.74,12.8,0.59,-0.4,0.8,164.96,20,73.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.85,1.0
37,Jimmy Butler,active,46.44,62.6,43.12733834273145,78.59194215452382,54.707186491187606,9.352941176470589,0.88,77.52,2021,0.9,0.5,0.5012631578947369,18.49,5.36,4.49,23.6,0.646,5.5,2.3,147.71,19,38.0,0.0,0.0,6.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
38,Damian Lillard,active,46.43,61.6,45.802545654569975,75.9832538960122,53.36113979038075,10.558823529411764,0.88,74.29,2019,0.9,0.5155454545454545,0.5131538461538462,25.71,4.35,6.91,21.3,0.621,4.0,3.2,120.11,13,58.0,0.0,0.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
39,Reggie Miller,historical,46.4,60.6,50.02867869705977,77.73331631479687,53.448772581154444,4.382352941176471,0.97,71.81,1994,1.0,0.5,0.5,18.61,2.97,2.93,16.6,0.582,1.8,2.0,173.56,18,66.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0
40,Patrick Ewing,historical,45.58,59.6,52.034822433011584,77.36917363680402,37.136807393280435,15.763427109974424,0.97,69.11,1990,1.0,0.5,0.5,20.58,9.47,1.72,14.4,0.497,-3.1,-0.3,120.81,17,65.0,0.0,0.0,11.0,1.0,7.0,3.0,1.0,3.0,0.0,0.0,1.0
41,Joel Embiid,active,45.41,58.6,28.56967418258632,85.68224299065419,48.17375843856365,19.215686274509807,0.88,82.15,2022,0.9,0.5245,0.5196,26.91,10.29,3.7,24.9,0.606,4.6,1.7,67.97,10,33.0,1.0,0.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
42,Anthony Davis,active,45.19,57.6,37.58302004571074,80.31602921542448,46.64996523451515,16.224598930481285,0.88,76.56,2018,0.9,0.5132727272727272,0.509125,23.78,10.74,2.79,21.8,0.551,2.4,0.7,128.88,16,20.0,0.0,1.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
43,Kyrie Irving,active,44.54,56.6,42.93379046926927,76.22357164100511,47.74451307163518,11.254010695187166,0.88,71.05,2018,0.9,0.5388181818181818,0.532,24.74,4.33,5.71,19.9,0.594,3.4,2.5,100.18,16,50.0,0.0,1.0,7.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0
44,Adrian Dantley,historical,44.07,55.6,34.8197650801816,87.825870688401,44.49783685723419,9.117647058823529,1.0,64.95,1982,1.08,0.5,0.509,21.98,5.27,2.68,,,0.8500000000000001,0.7,144.75,19,,0.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
45,Vince Carter,historical,44.01,54.5,62.238887159508366,73.39118801257969,36.17376092317639,4.235294117647059,0.97,68.47,2000,1.0,0.5,0.5103076923076924,18.09,4.5,3.2,7.5,0.47,-4.3,-0.5,148.29,26,60.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
46,Wes Unseld,historical,43.98,53.5,45.69091512634064,69.74464660691916,44.8706691687231,15.616755793226382,1.0,61.05,1970,1.08,0.5,0.5,10.21,12.98,3.61,13.5,0.543,1.7,1.9,103.28,13,63.0,1.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
47,Scottie Pippen,historical,43.7,52.5,39.092754084190815,75.39607854104649,34.837468115658574,25.46651941408975,0.97,49.71,1994,1.0,0.6930000000000001,0.645,15.82,6.05,5.04,12.4,0.448,-0.6,0.1,122.43,17,23.0,0.0,6.0,7.0,3.0,2.0,3.0,8.0,2.0,0.0,6.0,1.0
48,Carmelo Anthony,historical,43.68,51.5,59.89197594727388,67.08267631244316,37.55199775309656,10.176470588235295,0.88,58.87,2012,0.93,0.5112307692307693,0.508095238095238,23.86,6.58,2.8,14.8,0.579,-0.5,0.7,123.42,21,69.0,0.0,0.0,10.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
49,Allen Iverson,historical,43.29,50.5,40.98582435460674,71.39826422372226,39.80677746887398,20.980392156862745,0.97,60.16,2005,1.0,0.5,0.5,26.3,3.6,6.28,,,0.8500000000000001,0.7,115.9,20,,1.0,0.0,11.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0
50,Pau Gasol,historical,43.21,49.5,44.36689446650853,77.02591252186147,41.648954554360316,9.802139037433156,0.88,57.25,2007,1.0,0.5985384615384615,0.5809545454545455,16.76,9.03,3.18,,,0.8500000000000001,0.7,163.33,22,,0.0,2.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0
51,Elvin Hayes,historical,42.9,48.5,59.77891443337222,64.91796622433253,30.805440511421615,16.106951871657756,1.0,55.74,1975,1.08,0.5,0.5,20.17,11.74,1.73,10.3,0.45,-4.4,-0.6,113.64,16,81.0,0.0,1.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
52,Paul Pierce,historical,42.69,47.5,46.89774759182568,76.4500618012726,36.788547903032736,10.608300395256917,0.97,60.77,2001,1.0,0.5888181818181818,0.5572105263157895,20.64,5.82,3.6,5.7,0.535,-4.7,-0.2,160.96,19,25.0,0.0,1.0,10.0,0.0,3.0,5.0,0.0,1.0,0.0,0.85,1.0
53,Manu Ginobili,historical,42.33,46.5,41.62553360703014,83.08653665916258,34.93818578395139,9.663101604278076,0.88,56.42,2007,1.0,0.6783,0.684625,14.22,3.71,4.02,12.9,0.553,-1.3,0.2,113.89,16,65.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0
54,Sidney Moncrief,historical,41.44,45.5,37.505772439391805,80.22806648015418,38.81590685144319,9.205882352941178,1.0,66.69,1982,1.08,0.5,0.5,14.86,4.28,3.42,11.2,0.589,-0.7,0.4,86.26,11,72.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0
55,Dolph Schayes,historical,41.36,44.4,38.406733827887194,64.69422000146771,37.765083219761586,24.577540106951872,1.15,51.01,1953,1.08,0.5,0.5,18.14,11.19,2.87,11.5,0.399,-1.4,-0.003,137.48,15,24.0,0.0,1.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0
56,Dominique Wilkins,historical,41.32,43.4,41.47125182809537,73.15001165166541,38.86392951787134,11.794117647058826,1.0,69.71,1990,1.0,0.5,0.5,23.82,6.17,2.29,15.4,0.445,-2.4,0.0,118.69,17,27.0,0.0,0.0,9.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0
57,Tracy McGrady,historical,41.02,42.4,32.9461313839536,80.47252545878165,40.098302302725095,10.558823529411764,0.97,62.71,2002,1.0,0.5,0.5,18.71,5.4,4.39,,,0.8500000000000001,0.7,104.74,17,,0.0,0.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
58,Elgin Baylor,historical,40.87,41.4,35.26026523175303,68.82136992685844,34.12259995813244,25.264705882352946,1.15,48.81,1964,1.08,0.5177272727272727,0.5618571428571428,23.35,11.25,3.53,13.6,0.487,-0.5600000000000002,0.015,92.54,14,9.0,0.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
59,Chet Walker,historical,40.62,40.4,44.64306091422518,71.09457637505744,46.72596386308746,0.0,1.15,43.56,1971,1.08,0.5787272727272726,0.5666153846153846,17.23,6.48,1.9,19.5,0.568,2.5,2.8,108.86,13,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,Jack Sikma,historical,40.48,39.4,49.94020104649205,71.75199745594576,40.239600180915815,0.0,1.0,62.8,1983,1.08,0.5,0.5,15.17,9.17,2.97,13.7,0.516,-0.5,0.8,105.91,14,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,Alex English,historical,40.4,38.4,35.81768067945369,77.82959239770675,39.72049179188885,8.235294117647058,1.0,61.52,1982,1.08,0.5,0.5,20.13,5.39,3.3,,,0.8500000000000001,0.7,99.9,17,,0.0,0.0,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
62,Dave Cowens,historical,39.89,37.4,36.0261869188634,64.91961702713873,35.65992618585329,22.952607920638613,1.0,56.73,1975,1.08,0.5244444444444444,0.52,16.53,12.45,3.54,12.6,0.485,-0.4,0.4,81.39,11,40.0,1.0,2.0,8.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0
63,Paul Arizin,historical,39.83,36.4,40.6501051407854,63.040108637295894,37.68882255106088,17.93048128342246,1.15,50.81,1952,1.08,0.501625,0.5013,23.02,8.25,2.21,15.0,0.486,0.0,0.189,104.06,10,78.0,0.0,1.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0
64,Bob Cousy,historical,39.55,35.4,30.71141610139187,59.97036859174494,24.66546053164034,42.85739750445633,1.15,26.28,1957,1.08,0.6885454545454546,0.6481428571428571,17.82,4.77,6.76,8.6,0.579,-2.5600000000000005,0.003,86.87,14,7.0,1.0,6.0,13.0,10.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0
65,Donovan Mitchell,active,39.4,34.3,33.64562866797861,68.37104621226459,51.24038757135351,4.352941176470589,0.88,75.6,2022,0.9,0.5,0.5,25.05,4.34,4.85,23.2,0.612,5.4,3.7,58.42,9,58.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
66,Connie Hawkins,historical,39.27,33.3,40.28661504927186,77.37606941045146,39.43570292297706,0.0,1.0,53.44,1968,1.08,0.5,0.5,16.73,7.83,3.9,14.3,0.497,1.3,1.6,78.4,11,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,Dave DeBusschere,historical,39.09,32.3,45.956431132497954,57.091533423542536,42.74679958761939,10.566844919786096,1.15,51.71,1965,1.08,0.5,0.5,14.75,9.97,2.5,16.3,0.49,1.7,2.5,61.0,14,71.0,0.0,2.0,8.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0
68,Grant Hill,historical,39.06,31.3,40.193224214203774,77.69932239616988,33.19049737188577,5.147058823529411,0.97,70.17,1997,1.0,0.5,0.5,17.14,6.16,4.23,4.8,0.428,-5.6,-0.4,103.95,18,29.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
69,Dikembe Mutombo,historical,38.96,30.3,36.79059094863224,69.46208061216758,35.894867669924324,13.703324808184144,0.97,61.49,1998,1.0,0.5,0.5,9.57,10.26,0.95,10.8,0.472,-3.0,0.0,128.07,20,9.0,0.0,0.0,8.0,0.0,3.0,3.0,2.0,6.0,4.0,0.0,1.0
70,Bernard King,historical,38.89,29.3,34.41371166486324,80.52000790510782,33.667456879610754,6.941176470588236,1.0,59.82,1983,1.08,0.5,0.5,20.74,5.17,2.93,15.7,0.552,-1.0,0.1,71.07,14,32.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
71,Tony Parker,historical,38.59,28.3,47.18163070857628,68.4362321780422,26.36671300646821,12.368983957219251,0.88,33.65,2007,1.0,0.6764545454545454,0.6695555555555556,16.59,2.83,5.94,15.3,0.512,-2.6,-0.1,118.8,18,56.0,0.0,4.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,1.0
72,Fat Lever,historical,38.24,27.3,42.04414459136516,71.47186669979773,39.42979726485156,0.0,1.0,65.2,1987,1.08,0.5,0.5,12.8,5.44,5.48,13.2,0.462,0.5,1.3,57.41,11,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,Walt Frazier,historical,38.22,26.3,27.375570225071346,73.26614553895712,32.99767528199327,19.245873052778425,1.0,54.11,1970,1.08,0.5,0.5,16.41,4.86,5.21,13.6,0.421,-3.3,0.0,106.88,13,3.0,0.0,2.0,7.0,4.0,2.0,1.0,6.0,1.0,0.0,2.0,1.0
74,Bailey Howell,historical,37.24,25.3,45.69647425706428,67.3311005480789,35.93881266016207,0.0,1.15,44.41,1962,1.08,0.5532727272727272,0.5488333333333334,17.26,8.82,1.73,17.0,0.532,0.8,0.15,102.0,12,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,Dennis Rodman,historical,36.5,24.2,28.457789026791836,68.52146764635071,30.803423394506652,18.207393629388516,0.97,55.49,1988,1.08,0.5098,0.5705,6.62,12.95,1.7,8.4,0.457,-3.2,-0.1,85.21,14,12.0,0.0,5.0,2.0,0.0,4.0,0.0,7.0,1.0,2.0,5.0,1.0
76,Devin Booker,active,36.36,23.2,36.02478465950925,65.61962000979341,38.51210919915353,5.294117647058823,0.88,62.48,2022,0.9,0.5,0.5,24.65,4.07,5.33,20.1,0.579,1.9,1.6,55.82,11,50.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
77,Bam Adebayo,active,35.99,22.2,33.476899007992536,67.2204476857389,40.35571121813547,2.9117647058823533,0.88,62.6,2020,0.9,0.5,0.5,16.14,8.93,3.52,18.5,0.551,2.0,1.9,62.34,9,59.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
78,Willis Reed,historical,35.94,21.2,20.81423796017496,67.33175098137923,37.369607785428684,18.25311942959002,1.15,51.81,1968,1.08,0.5,0.5,16.6,11.15,1.68,,,0.8500000000000001,0.7,68.96,10,,1.0,2.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0
79,Zion Williamson,active,35.6,20.2,22.469528503198553,75.2975430864854,42.44184772455645,2.1764705882352944,0.88,75.52,2020,0.9,0.5,0.5,23.63,6.47,3.97,23.2,0.632,2.9,1.9,28.81,6,50.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
80,Draymond Green,active,35.23,19.2,40.12003314221708,61.82225105455082,27.781546169613904,11.192513368983958,0.88,46.21,2015,0.9,0.635090909090909,0.6200714285714285,8.72,6.89,5.78,10.3,0.539,-1.5,0.2,67.06,14,54.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0
81,Victor Wembanyama,active,35.17,18.2,18.773709557077474,73.68932926318989,45.35021477303907,2.875959079283888,0.88,50.0,2024,0.9,0.5,0.5,22.73,10.77,3.41,28.2,0.625,9.3,4.3,14.58,3,51.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
82,Mark Aguirre,historical,35.1,17.2,37.3820507753523,72.08909622988158,30.934339534365456,0.0,1.0,55.62,1983,1.08,0.5,0.5,18.67,4.53,2.93,13.1,0.544,-1.8,0.0,68.26,15,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
