player_name,slug,player_status,career_g,career_pts,career_trb,career_ast,career_stl,career_blk,career_tov,career_mp,career_fg_pct,career_fg3_pct,career_ft_pct,career_per,career_ts_pct,career_efg_pct,career_ws,career_ws_per48,career_bpm,career_vorp,career_obpm,career_dbpm,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,career_mpg,mvp,dpoy,finals_mvp,all_nba_1st,all_nba_2nd,all_nba_3rd,championships,allstar,honors_index,is_benchmark,career_bpm_imputed,career_vorp_imputed,adj_career_pts,adj_career_trb,adj_career_ast,adj_career_stl,adj_career_blk,adj_career_ppg,adj_career_rpg,adj_career_apg,adj_career_efg_pct,adj_career_ts_pct,adj_career_ws,avg_pace_factor,avg_ppg_factor,avg_efg_factor,min_season_year,max_season_year,n_seasons
Calvin Murphy,murphca01,historical,1002.0,17949.0,2103.0,4402.0,1165.0,51.0,822.0,30607.0,0.482,0.139,0.892,18.0,0.536,,84.1,0.132,0.6,15.8,1.4,-0.8,17.91317365269461,2.0988023952095807,4.393213572854291,1.1626746506986028,0.05089820359281437,0.8203592814371258,30.545908183632733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,16905.4,1980.48,4156.67,1098.43,47.92,17.13,1.94,4.07,0.57,0.63,79.15,0.9445105731419484,1.0043587861762617,1.2128187720410546,1970.0,1982.0,13
Bob Love,lovebo01,historical,789.0,13895.0,4653.0,1123.0,232.0,56.0,,25120.0,0.429,,0.805,14.9,0.485,,50.4,0.096,-1.8,0.4,-0.5,-1.4,17.61089987325729,5.897338403041825,1.423320659062104,0.29404309252217997,0.07097591888466413,,31.837769328263626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,13772.69,4699.24,1117.82,242.5,59.17,13.42,4.71,1.07,,0.58,49.22,0.9339171024065985,0.9888438039091886,1.2541701159835212,1966.0,1976.0,16
Bailey Howell,howelba01,historical,950.0,17770.0,9383.0,1853.0,,,,30627.0,0.48,,0.762,19.1,0.544,,114.8,0.18,1.6400000000000006,3.444,1.1480000000000004,0.49200000000000016,18.705263157894738,9.876842105263158,1.9505263157894737,,,,32.23894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,15837.36,8348.83,1646.01,0.0,0.0,17.26,8.82,1.73,,0.66,102.0,0.8947606561787951,0.9662810375144071,1.2833224836739374,1959.0,1970.0,12
Paul Arizin,arizipa01,historical,713.0,16266.0,6129.0,1665.0,,,,24897.0,0.421,,0.81,19.8,0.506,,108.8,0.183,1.9200000000000004,3.264,1.344,0.5760000000000001,22.813464235624124,8.596072931276296,2.335203366058906,,,,34.918653576437585,0.0,0.0,0.0,3.0,6.0,0.0,1.0,10.0,20.0,False,True,True,15286.83,5830.06,1574.79,0.0,0.0,23.02,8.25,2.21,,0.64,104.06,0.9460564867872474,1.116672591315585,1.3344554138215394,1950.0,1961.0,10
Dolph Schayes,schaydo01,historical,996.0,18438.0,11256.0,3072.0,,,,29800.0,0.38,,0.849,22.1,0.488,,142.4,0.192,2.8400000000000007,4.272,1.9880000000000004,0.8520000000000002,18.512048192771083,11.301204819277109,3.0843373493975905,,,,29.919678714859437,0.0,0.0,0.0,6.0,6.0,0.0,1.0,12.0,27.0,False,True,True,17473.92,10821.57,2924.36,0.0,0.0,18.14,11.19,2.87,,0.62,137.48,0.9457683204567205,1.1331486537753175,1.3341929047185475,1949.0,1963.0,15
Penny Hardaway,hardaan01,historical,704.0,10684.0,3146.0,3525.0,1125.0,312.0,1786.0,23711.0,0.458,0.316,0.774,17.4,0.535,,61.9,0.125,2.5,26.9,1.7,0.8,15.176136363636363,4.46875,5.0071022727272725,1.5980113636363635,0.4431818181818182,2.5369318181818183,33.68039772727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,11592.53,3533.2,3753.46,1217.41,339.63,13.4,4.26,4.22,0.49,0.54,64.46,1.0457882520308197,1.1216099621003375,1.0826491093386768,1993.0,2007.0,16
Fat Lever,leverfa01,historical,752.0,10433.0,4523.0,4696.0,1666.0,209.0,1471.0,23814.0,0.447,0.31,0.771,17.8,0.496,,61.2,0.123,3.3,32.1,1.7,1.6,13.873670212765957,6.014627659574468,6.24468085106383,2.2154255319148937,0.2779255319148936,1.9561170212765957,31.66755319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,9800.92,4240.02,4427.87,1569.56,197.32,12.8,5.44,5.48,0.49,0.53,57.41,0.9399297853838203,1.0206944429814906,1.089650081254679,1982.0,1993.0,11
World B. Free,freewo01,historical,886.0,17955.0,2430.0,3319.0,910.0,223.0,1869.0,26893.0,0.456,0.337,0.753,18.8,0.527,,67.7,0.121,1.2,22.0,2.6,-1.3,20.26523702031603,2.7426636568848757,3.7460496613995486,1.0270880361173815,0.2516930022573363,2.1094808126410833,30.353273137697517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,18665.4,2490.53,3423.75,955.01,223.54,19.38,2.47,3.48,0.52,0.58,69.54,0.9484269685573197,1.015549030781455,1.1497610307770225,1975.0,1987.0,15
Mark Aguirre,aguirma01,historical,923.0,18458.0,4578.0,2871.0,687.0,296.0,2306.0,27730.0,0.484,0.312,0.741,19.0,0.542,,67.8,0.117,1.5,24.4,2.6,-1.1,19.99783315276273,4.9599133261105095,3.1105092091007585,0.7443120260021668,0.3206933911159263,2.498374864572048,30.043336944745395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,18838.67,4678.72,2971.69,690.77,311.29,18.67,4.53,2.93,0.54,0.58,68.26,0.9395727071029814,1.0220063984143277,1.0890218979470692,1981.0,1993.0,15
Dan Issel,isselda01,historical,1218.0,27482.0,11133.0,2907.0,1039.0,572.0,2490.0,41784.0,0.499,0.204,0.793,21.5,0.559,,157.8,0.181,2.3,33.9,3.0,-0.8,22.563218390804597,9.14039408866995,2.3866995073891624,0.8530377668308703,0.4696223316912972,2.044334975369458,34.30541871921182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,25982.86,10515.91,2746.39,983.87,542.13,21.79,8.59,2.25,0.59,0.65,149.31,0.9463782536844835,1.0068129152192273,1.19921193063345,1970.0,1984.0,15
Dave DeBusschere,debusda01,historical,875.0,14053.0,9618.0,2497.0,67.0,39.0,,31202.0,0.432,,0.699,15.5,0.472,,60.8,0.093,1.7,2.5,0.9,0.7,16.06057142857143,10.992,2.8537142857142856,0.07657142857142857,0.044571428571428574,,35.65942857142857,0.0,0.0,0.0,0.0,2.0,6.0,2.0,8.0,15.0,False,False,False,14045.07,9642.23,2470.61,64.31,37.44,14.75,9.97,2.5,,0.59,61.0,0.914799808264111,0.9725872151730446,1.270293388649422,1962.0,1973.0,14
Jerry Sloan,sloanje01,historical,755.0,10571.0,5615.0,1925.0,381.0,32.0,,25750.0,0.427,,0.722,13.2,0.477,,49.5,0.092,0.7,4.1,-1.1,1.7,14.001324503311258,7.437086092715232,2.5496688741721854,0.5046357615894039,0.0423841059602649,,34.10596026490066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,9872.44,5245.69,1794.54,366.68,30.8,12.92,6.72,2.28,,0.59,46.52,0.9349668506258483,0.9855825098624766,1.2606552526909711,1965.0,1975.0,11
Chet Walker,walkech01,historical,1032.0,18831.0,7314.0,2126.0,117.0,10.0,,33433.0,0.47,,0.796,17.6,0.54,,117.4,0.168,2.5,5.8,3.0,-0.5,18.247093023255815,7.087209302325581,2.060077519379845,0.11337209302325581,0.009689922480620155,,32.39631782945737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,17365.16,6682.65,1962.65,112.63,9.64,17.23,6.48,1.9,,0.65,108.86,0.9177839153351144,0.976366052662413,1.268312400952419,1962.0,1974.0,13
