player_name,slug,player_status,season_year,season_start_year,season_age,team_name_abbr,pos,season_g,season_mp,season_pts,season_trb,season_ast,season_stl,season_blk,season_ppg,season_rpg,season_apg,season_per,season_ts_pct,season_ws,season_ws_per48,season_bpm,season_vorp,season_obpm,season_dbpm,season_fg_pct,season_efg_pct,lg_pace,lg_efg_pct,lg_ppg,lg_tpar,pace_factor,efg_factor,ppg_factor,tpar_factor,adj_season_pts,adj_season_trb,adj_season_ast,adj_season_stl,adj_season_blk,adj_season_ppg,adj_season_rpg,adj_season_apg,lg_efg_pct_safe,efg_surplus,adj_season_efg_pct,lg_ts_proxy,ts_surplus,adj_season_ts_pct,lg_ppg_safe,ppg_relative,adj_season_ppg_inflation,adj_season_ppg_blended,adj_season_ws,adj_season_vorp
Hakeem Olajuwon,olajuha01,historical,1988-89,1988.0,26.0,HOU,C,82.0,3024.0,2034.0,1105.0,149.0,213.0,282.0,24.804878048780488,13.475609756097562,1.8170731707317074,25.2,0.552,12.4,0.197,5.5,5.7,2.7,2.9,0.508,0.508,107.0,0.481,108.5,0.059,0.9195327102803739,1.0841995841995842,1.0105069124423964,6.13728813559322,1870.3295327102805,1016.0836448598131,137.0103738317757,195.86046728971962,259.30822429906544,22.808896740369274,12.39126396170504,1.6708582174606794,0.481,0.027000000000000024,0.5485,0.50986,0.042140000000000066,0.5949300000000001,108.5,0.22861638754636393,25.065500730583345,23.711538336454904,11.402205607476636,5.7
Hakeem Olajuwon,olajuha01,historical,1989-90,1989.0,27.0,HOU,C,82.0,3124.0,1995.0,1149.0,234.0,174.0,376.0,24.329268292682926,14.012195121951219,2.8536585365853657,24.1,0.541,11.2,0.173,5.8,6.2,1.8,4.0,0.501,0.501,107.3,0.484,109.0,0.069,0.9169617893755825,1.077479338842975,1.0058715596330277,5.247826086956521,1829.338769804287,1053.5890959925443,214.5690587138863,159.55135135135134,344.777632805219,22.30900938785716,12.848647512104199,2.616695837974223,0.484,0.017000000000000015,0.5385,0.51304,0.027959999999999985,0.58075,109.0,0.2232042962631461,24.472119042291343,23.174253249630834,10.269972041006524,6.2
Hakeem Olajuwon,olajuha01,historical,1990-91,1990.0,28.0,HOU,C,56.0,2062.0,1187.0,770.0,131.0,121.0,221.0,21.196428571428573,13.75,2.3392857142857144,24.3,0.549,8.6,0.201,6.2,4.3,2.1,4.0,0.508,0.508,107.7,0.488,107.0,0.08,0.9135561745589601,1.0686475409836065,1.0246728971962618,4.526249999999999,1084.3911792014856,703.4382544103993,119.67585886722377,110.54029712163417,201.8959145775302,19.36412820002653,12.561397400185701,2.1370689083432817,0.488,0.020000000000000018,0.5415,0.51728,0.03172000000000008,0.5845100000000001,107.0,0.1980974632843792,21.719405874499337,20.306239269815656,7.856583101207057,4.3
Hakeem Olajuwon,olajuha01,historical,1991-92,1991.0,29.0,HOU,C,70.0,2636.0,1510.0,845.0,157.0,127.0,304.0,21.571428571428573,12.071428571428571,2.242857142857143,23.7,0.553,9.8,0.178,5.0,4.6,1.9,3.0,0.502,0.502,105.3,0.488,104.6,0.08,0.9343779677113011,1.0686475409836065,1.0481835564053539,4.526249999999999,1410.9107312440647,789.5493827160494,146.69734093067427,118.66600189933524,284.05090218423555,20.155867589200927,11.279276895943562,2.0956762990096327,0.488,0.014000000000000012,0.5355,0.51728,0.035720000000000085,0.5885100000000001,104.6,0.2062278066102158,22.610816716744065,21.137847240218182,9.156904083570751,4.6
Hakeem Olajuwon,olajuha01,historical,1992-93,1992.0,30.0,HOU,C,82.0,3242.0,2140.0,1068.0,291.0,150.0,342.0,26.097560975609756,13.024390243902438,3.548780487804878,27.3,0.577,15.8,0.234,7.5,7.8,3.9,3.6,0.529,0.529,103.7,0.489,105.3,0.084,0.948794599807136,1.0664621676891615,1.041215574548908,4.310714285714285,2030.420443587271,1013.3126325940212,276.09922854387656,142.3191899710704,324.48775313404053,24.76122492179599,12.35747112919538,3.367063762730202,0.489,0.040000000000000036,0.5615,0.51834,0.058659999999999934,0.6114499999999999,105.3,0.24784008523845924,27.173186945544675,25.726009731295463,14.990954676952748,7.8
Hakeem Olajuwon,olajuha01,historical,1993-94,1993.0,31.0,HOU,C,80.0,3277.0,2184.0,955.0,287.0,128.0,297.0,27.3,11.9375,3.5875,25.3,0.565,14.3,0.21,6.8,7.3,3.5,3.3,0.528,0.53,105.4,0.49,105.0,0.092,0.9334914611005692,1.0642857142857143,1.0441904761904763,3.935869565217391,2038.7453510436433,891.4843453510437,267.9120493358634,119.48690702087286,277.2469639468691,25.48431688804554,11.143554316888045,3.348900616698292,0.49,0.040000000000000036,0.5615,0.5194,0.045599999999999974,0.59839,105.0,0.26,28.506400000000006,26.693150132827327,13.348927893738141,7.3
Hakeem Olajuwon,olajuha01,historical,1994-95,1994.0,32.0,HOU,C,72.0,2853.0,2005.0,775.0,255.0,133.0,242.0,27.84722222222222,10.76388888888889,3.5416666666666665,26.0,0.563,10.7,0.181,5.4,5.3,2.8,2.6,0.517,0.517,102.7,0.489,101.5,0.114,0.958033106134372,1.0664621676891615,1.0801970443349755,3.176315789473684,1920.856377799416,742.4756572541382,244.29844206426486,127.41840311587147,231.84401168451802,26.678560802769663,10.312161906307477,3.393033917559234,0.489,0.028000000000000025,0.5495,0.51834,0.04465999999999992,0.5974499999999999,101.5,0.2743568691844554,30.080487137383695,28.039331336615277,10.25095423563778,5.3
Hakeem Olajuwon,olajuha01,historical,1995-96,1995.0,33.0,HOU,C,72.0,2797.0,1936.0,784.0,257.0,113.0,207.0,26.88888888888889,10.88888888888889,3.5694444444444446,25.5,0.558,9.7,0.166,4.9,4.9,2.8,2.0,0.514,0.515,100.9,0.489,101.4,0.164,0.9751238850346877,1.0664621676891615,1.0812623274161737,2.2079268292682923,1887.8398414271555,764.4971258671952,250.60683845391475,110.18899900891971,201.85064420218035,26.21999779759938,10.618015637044378,3.4806505340821494,0.489,0.026000000000000023,0.5475,0.51834,0.03966000000000003,0.59245,101.4,0.2651764190225729,29.073942581634896,27.361575711213586,9.45870168483647,4.9
Hakeem Olajuwon,olajuha01,historical,1996-97,1996.0,34.0,HOU,C,78.0,2852.0,1810.0,716.0,236.0,117.0,173.0,23.205128205128204,9.179487179487179,3.0256410256410255,22.7,0.558,9.1,0.154,3.5,3.9,1.5,2.0,0.51,0.512,96.9,0.489,101.4,0.195,1.015376676986584,1.0664621676891615,1.0812623274161737,1.8569230769230767,1837.831785345717,727.0097007223941,239.62889576883381,118.79907120743033,175.66016511867903,23.56194596597073,9.320637188748641,3.072165330369664,0.489,0.02300000000000002,0.5445,0.51834,0.03966000000000003,0.59245,101.4,0.2288474181965306,25.090830931067618,24.173499952009486,9.239927760577913,3.9
Hakeem Olajuwon,olajuha01,historical,1997-98,1997.0,35.0,HOU,C,47.0,1633.0,772.0,460.0,143.0,84.0,96.0,16.425531914893618,9.787234042553191,3.0425531914893615,20.8,0.531,4.5,0.131,3.0,2.1,1.0,2.0,0.483,0.483,95.9,0.487,100.7,0.17,1.0259645464025025,1.070841889117043,1.0887785501489575,2.13,792.0446298227318,471.94369134515114,146.71293013555785,86.18102189781021,98.49259645464024,16.85201340048366,10.041355135003215,3.121551705011869,0.487,-0.0040000000000000036,0.5175,0.51622,0.014780000000000015,0.56757,100.7,0.16311352447759303,17.883766823723303,17.264714769779516,4.616840458811261,2.1
